symptoms,disease
"Excessive thirst and frequent urination (large amounts of dilute urine).",Diabetes Insipidus
"swelling,weight gain,high blood pressure,fatigue,muscle weakness,moon face",Cushing's Syndrome
"thin skin,easy bruising,stretch marks (purple or pink),acne,increased hair growth,round face",Cushing's Syndrome
"itchy skin, dry skin, red skin, inflamed skin, scaly patches, rough skin, blisters, oozing or crusting",Eczema
"skin rash, intense itching, dry, thickened skin, small, raised bumps, cracked skin",Eczema
"red, inflamed skin, intense itching, dryness, scaling, cracking, oozing or crusting (in severe cases)",Eczema
"Itchy, red, dry, inflamed skin; may have scaly patches, blisters, or oozing.",Eczema
"Intense itching, red/inflamed skin, dry/scaly patches, may have bumps/blisters.",Eczema
"itching, scratching, skin irritation, dry skin, redness, rash",Pruritus
"generalized itching, localized itching, itching without a rash, itching that worsens at night, itching associated with other conditions",Pruritus
"intense itching, which may be localized or generalized, and may or may not be accompanied by a visible rash",Pruritus
"Itching (can be localized or generalized).",Pruritus
"Itching (localized or widespread).",Pruritus
"patches of depigmented skin, loss of skin color, premature whitening or graying of hair, loss of color in mucous membranes",Vitiligo
"white patches on skin, often in sun-exposed areas, symmetrical patches, patches that may slowly enlarge over time",Vitiligo
"loss of skin color (depigmentation), appearing as white patches, often in sun-exposed areas, and may also affect hair and mucous membranes",Vitiligo
"Loss of skin color, appearing as white patches (often on sun-exposed areas).",Vitiligo
"Patches of depigmented (white) skin.",Vitiligo
"small, soft, skin-colored or darker growths, growths that hang off the skin, often found in skin folds",Skin Tag
"benign skin growths, painless, typically found on the neck, armpits, groin, or eyelids",Skin Tag
"small, benign, flesh-colored or brown growths that hang off the skin, often found in areas where skin rubs against skin or clothing",Skin Tag
"Small, soft, flesh-colored or darker growths that hang off the skin (often in skin folds).",Skin Tag
"Small, benign, flesh-colored or brown growths that hang off the skin.",Skin Tag
"small, rough, grainy growths, usually on hands and fingers, flesh-colored, white, pink, or tan, may have black dots (clotted blood vessels)",Wart
"raised, bumpy growths, caused by a virus, contagious, can spread through direct contact",Wart
"small, rough, fleshy growths, often on the hands or feet, caused by the human papillomavirus (HPV)",Wart
"Small, rough, grainy growths (usually on hands/fingers), may have black dots.",Wart
"Small, rough, flesh-colored growths caused by HPV; common on hands and feet.",Wart
"thickened, hardened layers of skin, caused by friction or pressure, usually on feet, yellowish or grayish, may be painful",Callus
"hard, thick patches of skin, often on the soles of the feet, less sensitive to touch than surrounding skin, raised, bumpy",Callus
"thickened, hardened areas of skin, usually on the feet or hands, caused by repeated pressure or friction",Callus
"Thickened, hardened areas of skin, usually on feet (soles) or hands, from friction/pressure.",Callus
"Thickened, hardened area of skin caused by pressure/friction; common on feet.",Callus
"hard, thickened area of skin with a central core, painful when pressed, usually on toes, caused by friction or pressure",Corn
"small, raised, hard bumps on the feet, often on the toes, may have a clear center, can be painful",Corn
"small, hard, thickened areas of skin with a central core, usually found on the toes, and often caused by pressure from shoes",Corn
"Small, hard, thickened area of skin with a central core, usually on toes; painful.",Corn
"Small, hardened area of skin with a central core, usually found on the toes.",Corn
"bony bump on the joint at the base of the big toe, big toe points inward towards other toes, pain, redness, swelling",Bunion
"deformity of the big toe joint, bump on the side of the foot, pain and swelling, difficulty wearing shoes",Bunion
"a bony bump that forms on the joint at the base of the big toe, often causing the big toe to angle inward towards the other toes, and can be painful",Bunion
"Bony bump on the joint at the base of the big toe, often with the big toe angled inward.",Bunion
"Bony bump on the joint at base of big toe; toe may angle inwards.",Bunion
"toenail grows into the skin, pain, redness, swelling, infection, usually affects the big toe",Ingrown Toenail
"painful, red, swollen area around the toenail, pus or drainage, tenderness, usually caused by improper nail trimming",Ingrown Toenail
"a condition where the edge of a toenail (usually the big toe) grows into the surrounding skin, causing pain, redness, swelling, and sometimes infection",Ingrown Toenail
"Toenail grows into the surrounding skin, causing pain, redness, and swelling.",Ingrown Toenail
"Toenail grows into the skin, causing pain, redness, swelling; may become infected.",Ingrown Toenail
"itchy, scaly rash between the toes, redness, cracking, peeling, burning or stinging sensation",Athlete's Foot
"fungal infection of the feet, contagious, spread through direct contact or contaminated surfaces",Athlete's Foot
"a fungal infection of the skin on the feet, typically between the toes, causing itching, scaling, redness, and sometimes cracking or blistering",Athlete's Foot
"Itchy, scaly rash between the toes, may have redness, cracking, or burning.",Athlete's Foot
"Itchy, scaly, red rash between toes; may have cracking/peeling.",Athlete's Foot
"red, itchy, scaly patches, thick, silvery scales, raised, inflamed skin, dry, cracked skin, may bleed",Psoriasis
"patches of thick, red skin covered with silvery scales, often on elbows, knees, scalp, and lower back, can be itchy and painful",Psoriasis
"a chronic skin condition characterized by red, itchy, scaly patches, most commonly on the knees, elbows, scalp, and lower back",Psoriasis
"Red, itchy, scaly patches; thick, silvery scales; raised, inflamed skin.",Psoriasis
"Red, itchy, scaly patches with thick, silvery scales; often on elbows, knees, scalp.",Psoriasis
"facial redness, flushing, visible blood vessels, red bumps or pimples, swelling, skin sensitivity",Rosacea
"persistent redness, especially on the cheeks, nose, chin, or forehead, small, red, pus-filled bumps, visible blood vessels (telangiectasia)",Rosacea
"a chronic skin condition characterized by facial redness, flushing, visible blood vessels, and sometimes small, red, pus-filled bumps",Rosacea
"Facial redness/flushing, visible blood vessels, red bumps/pimples, swelling.",Rosacea
"Facial redness, flushing, visible blood vessels, sometimes with red bumps.",Rosacea
"pimples, blackheads, whiteheads, cysts, nodules, oily skin, inflammation",Acne
"blemishes on the skin, often on the face, chest, and back, can be painful, may leave scars",Acne
"a skin condition characterized by pimples, blackheads, whiteheads, and sometimes deeper cysts or nodules, often caused by clogged pores and inflammation",Acne
"Pimples, blackheads, whiteheads, cysts, nodules; oily skin; inflammation.",Acne
"Pimples, blackheads, whiteheads, often on face/chest/back.",Acne
"hair loss, hair thinning, bald patches, widening part, receding hairline, excessive hair shedding",Alopecia
"loss of hair, can be on the scalp or other parts of the body, can be temporary or permanent, various types",Alopecia
"hair loss, which can be patchy (alopecia areata), total (alopecia totalis), or universal (alopecia universalis), and can affect the scalp or other parts of the body",Alopecia
"Hair loss, hair thinning, bald patches.",Alopecia
"Hair loss, which can be patchy, total, or universal.",Alopecia
"thickened nails, discolored nails (yellow, brown, or white), brittle nails, crumbly nails, distorted nail shape, nail separation from nail bed",Nail Fungus
"fungal infection of the nails, often starts at the edge of the nail, can spread to other nails, difficult to treat",Nail Fungus
"a fungal infection of the nails, causing thickening, discoloration (yellow, brown, or white), brittleness, and sometimes separation of the nail from the nail bed",Nail Fungus
"Thickened, discolored (yellow/brown/white), brittle, crumbly nails.",Nail Fungus
"Thickened, discolored, brittle, or distorted nails.",Nail Fungus
"joint pain, stiffness, swelling, tenderness, decreased range of motion, warmth around joint, redness",Arthritis
"inflammation of one or more joints, various types (osteoarthritis, rheumatoid arthritis, gout, etc.), can affect any joint",Arthritis
"joint pain, stiffness, swelling, decreased range of motion, and sometimes redness and warmth around the affected joint(s)",Arthritis
"Joint pain, stiffness, swelling, tenderness, decreased range of motion.",Arthritis
"Joint pain, stiffness, swelling, decreased range of motion, redness/warmth.",Arthritis
"sharp, shooting pain radiating from the lower back down the leg, numbness, tingling, muscle weakness, pain that worsens with movement",Sciatica
"pain that follows the path of the sciatic nerve, usually affects only one side of the body, can be caused by a herniated disc, spinal stenosis, or other conditions",Sciatica
"pain that radiates from the lower back down the back of the leg, often caused by compression of the sciatic nerve",Sciatica
"Sharp, shooting pain radiating from lower back down the leg, numbness, tingling.",Sciatica
"Sharp pain radiating from lower back down one leg; numbness, tingling, weakness.",Sciatica
"sudden, involuntary muscle contraction, painful, often in the legs, can be caused by dehydration, electrolyte imbalance, or overuse",Muscle Cramps
"tight, knotted muscle, pain, tenderness, may last for a few seconds to several minutes",Muscle Cramps
"sudden, involuntary, painful contractions of a muscle or part of a muscle, often occurring in the legs",Muscle Cramps
"Sudden, involuntary muscle contraction; painful; often in legs.",Muscle Cramps
"Sudden, involuntary, painful muscle contraction.",Muscle Cramps
"involuntary muscle contractions, twitching, fluttering, can be painful, may be associated with other conditions",Muscle Spasms
"sudden, involuntary muscle contractions, can be brief or sustained, may cause pain, stiffness, or cramping",Muscle Spasms
"sudden, involuntary contractions of a muscle or group of muscles, which can be painful or uncomfortable",Muscle Spasms
"Involuntary muscle contractions; twitching; can be painful.",Muscle Spasms
"Sudden, involuntary muscle contractions; can be painful.",Muscle Spasms
"reduced muscle strength, difficulty performing tasks that require muscle strength, fatigue, muscle atrophy",Muscle Weakness
"decreased ability to exert force with muscles, can be caused by various conditions, may affect specific muscles or be generalized",Muscle Weakness
"a reduction in the strength of one or more muscles, making it difficult to perform tasks that require muscle strength",Muscle Weakness
"Reduced muscle strength; difficulty performing tasks.",Muscle Weakness
"Decreased muscle strength; difficulty performing tasks requiring muscle strength.",Muscle Weakness
"difficulty moving joints through their full range of motion, stiffness, pain, may worsen after periods of inactivity",Joint Stiffness
"feeling of tightness or resistance in a joint, may be accompanied by pain, swelling, or inflammation",Joint Stiffness
"a feeling of tightness or resistance in a joint, making it difficult to move the joint through its full range of motion",Joint Stiffness
"Difficulty moving joints; stiffness; pain; may worsen after inactivity.",Joint Stiffness
"Difficulty moving joints through full range; stiffness, pain.",Joint Stiffness
"enlargement of a joint, pain, tenderness, warmth, redness, stiffness, limited range of motion",Joint Swelling
"accumulation of fluid in or around a joint, can be caused by injury, inflammation, or infection",Joint Swelling
"an increase in the size of a joint, often due to inflammation or fluid buildup, and can be accompanied by pain, tenderness, warmth, redness, and stiffness",Joint Swelling
"Enlargement of a joint; pain, tenderness, warmth, redness, stiffness.",Joint Swelling
"Enlarged joint, pain, tenderness, warmth, redness, stiffness.",Joint Swelling
"joint pain, aching, soreness, tenderness, may be without visible signs of inflammation",Arthralgia
"pain in one or more joints, can be caused by various conditions, may be acute or chronic",Arthralgia
"pain in one or more joints, without visible signs of inflammation (such as swelling or redness)",Arthralgia
"Joint pain, aching, soreness, tenderness; may be without visible inflammation.",Arthralgia
"Joint pain (without visible swelling/redness).",Arthralgia
"sudden, severe joint pain, swelling, redness, warmth, often affects the big toe, caused by a buildup of uric acid crystals",Gout
"intense pain, usually in a single joint, often at night, may be accompanied by fever, chills, and malaise",Gout
"a form of inflammatory arthritis characterized by sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often the big toe",Gout
"Sudden, severe joint pain, swelling, redness, warmth (often big toe).",Gout
"Sudden, severe joint pain/swelling/redness/warmth, often in big toe.",Gout
"joint pain, stiffness, swelling, decreased range of motion, grating sensation, bone spurs",Osteoarthritis
"degenerative joint disease, breakdown of cartilage, often affects weight-bearing joints, worsens with activity, improves with rest",Osteoarthritis
"a degenerative joint disease characterized by the breakdown of cartilage, leading to pain, stiffness, swelling, and decreased range of motion in the affected joints, often the hands, knees, hips, and spine",Osteoarthritis
"Joint pain, stiffness, swelling, decreased range of motion, grating sensation.",Osteoarthritis
"Joint pain/stiffness/swelling, decreased range of motion, grating sensation, bone spurs.",Osteoarthritis
"twisted, enlarged veins, usually in the legs, blue or dark purple, bulging, may be painful",Varicose Veins
"aching, heaviness, swelling, itching, skin discoloration around veins, leg cramps",Varicose Veins
"enlarged, twisted, bulging veins, usually blue or dark purple, and most often found in the legs and feet",Varicose Veins
"Twisted, enlarged, bulging veins (usually in legs), blue/dark purple, may be painful.",Varicose Veins
"Twisted, enlarged, blue/purple veins, usually in legs; may be painful.",Varicose Veins
"swelling, puffiness, stretched or shiny skin, skin that retains a dimple after being pressed, may be caused by fluid buildup",Edema
"swelling caused by fluid buildup in tissues, often in the legs and ankles, can be caused by various conditions",Edema
"swelling caused by excess fluid trapped in the body's tissues, most commonly in the legs and ankles",Edema
"Swelling, puffiness, stretched skin, skin retains dimple after being pressed.",Edema
"Swelling caused by fluid buildup, often in legs/ankles.",Edema
"heel pain, pain in the arch of the foot, pain that worsens with first steps in the morning or after periods of rest, stiffness",Plantar Fasciitis
"inflammation of the plantar fascia (thick band of tissue on the bottom of the foot), common cause of heel pain",Plantar Fasciitis
"inflammation of the plantar fascia (a thick band of tissue on the bottom of the foot), causing heel pain that is often worse in the morning or after periods of rest",Plantar Fasciitis
"Heel pain, pain in arch of foot, pain worse with first steps in morning/after rest.",Plantar Fasciitis
"Heel pain, arch pain, worse in morning/after rest, stiffness.",Plantar Fasciitis
"heel pain, pain that worsens with activity, bony protrusion on the heel bone, may be associated with plantar fasciitis",Heel Spur
"calcium deposit on the underside of the heel bone, often asymptomatic, but can cause pain",Heel Spur
"a bony outgrowth on the underside of the heel bone, which may or may not cause pain, and is often associated with plantar fasciitis",Heel Spur
"Heel pain, pain that worsens with activity, bony protrusion on heel bone.",Heel Spur
"Heel pain, worse with activity, bony protrusion on heel.",Heel Spur
"ankle pain, swelling, bruising, difficulty walking, limited range of motion, instability",Sprained Ankle
"stretching or tearing of ligaments in the ankle, usually caused by twisting or rolling the ankle, various grades of severity",Sprained Ankle
"an injury to the ligaments of the ankle, usually caused by a sudden twisting or rolling motion, resulting in pain, swelling, bruising, and difficulty bearing weight",Sprained Ankle
"Ankle pain, swelling, bruising, difficulty walking, limited range of motion.",Sprained Ankle
"Ankle pain/swelling/bruising, difficulty walking, instability.",Sprained Ankle
"knee pain, swelling, stiffness, clicking or popping sound, difficulty bending or straightening knee, instability",Knee Pain
"pain in or around the knee joint, can be caused by various conditions (injury, arthritis, overuse, etc.)",Knee Pain
"pain in or around the knee, which can be caused by a variety of factors, including injury, overuse, and underlying conditions like arthritis",Knee Pain
"Knee pain, swelling, stiffness, clicking/popping, difficulty bending/straightening knee.",Knee Pain
"Pain in/around knee; swelling, stiffness, clicking/popping, instability.",Knee Pain
"shoulder pain, stiffness, weakness, limited range of motion, clicking or popping sound, pain that worsens with activity",Shoulder Pain
"pain in or around the shoulder joint, can be caused by various conditions (injury, arthritis, overuse, etc.)",Shoulder Pain
"pain in or around the shoulder, which can be caused by a variety of factors, including injury, overuse, and underlying conditions like arthritis",Shoulder Pain
"Shoulder pain, stiffness, weakness, limited range of motion, clicking/popping.",Shoulder Pain
"Pain in/around shoulder; stiffness, weakness, limited motion, clicking/popping.",Shoulder Pain
"pain on the outer side of the elbow, pain that worsens with gripping or twisting motions, tenderness, weakness",Tennis Elbow
"inflammation of the tendons on the outer side of the elbow, often caused by overuse, also called lateral epicondylitis",Tennis Elbow
"pain and tenderness on the outer side of the elbow, often caused by overuse of the forearm muscles, and also known as lateral epicondylitis",Tennis Elbow
"Pain on outer side of elbow, worsens with gripping/twisting, tenderness, weakness.",Tennis Elbow
"Pain on outer elbow, worse with gripping/twisting; tenderness ",Tennis Elbow 
"numbness, tingling, and pain in the hand and arm, weakness in the hand, difficulty gripping, symptoms worsen at night",Carpal Tunnel Syndrome
"pain, numbness, and tingling in the thumb, index finger, middle finger, and half of the ring finger, weakness in the hand, dropping things",Carpal Tunnel Syndrome
"tingling or numbness in the fingers or hand, especially the thumb, index, middle, or ring fingers, pain radiating up the arm, weakness in the hand",Carpal Tunnel Syndrome
"Numbness, tingling, pain in hand/arm (especially thumb, index, middle fingers); weakness; worse at night.",Carpal Tunnel Syndrome
"Numbness/tingling/pain in hand (thumb, index, middle, ring fingers), weakness, dropping things, worse at night.",Carpal Tunnel Syndrome
"redness, pain, swelling, warmth, blistering, peeling skin",Sunburn
"mild redness, tenderness, itching, peeling skin",Sunburn
"severe redness, pain, blistering, fever, chills, headache, nausea, dehydration",Sunburn
"Red, painful skin that feels hot to the touch, may blister, peel, and itch.",Sunburn
"Red, hot, painful skin; may blister/peel.",Sunburn
"skin rash (hives or welts), itching, swelling (especially of the face, lips, tongue, or throat), difficulty breathing, wheezing, nausea, vomiting, diarrhea",Allergic Reaction
"abdominal pain, dizziness, lightheadedness, rapid pulse, loss of consciousness, anaphylaxis (severe, life-threatening reaction)",Allergic Reaction
"itching, hives, swelling (especially of the face, lips, or tongue), difficulty breathing, wheezing, dizziness, lightheadedness",Allergic Reaction
"hives (raised, itchy welts), swelling (especially around face/mouth), itching, difficulty breathing/wheezing, dizziness, nausea/vomiting",Allergic Reaction
"Itching, hives, swelling (face/lips/tongue), difficulty breathing/wheezing, dizziness.",Allergic Reaction
"fatigue, low blood pressure, weight loss, skin darkening (hyperpigmentation), salt craving, abdominal pain, nausea, vomiting, diarrhea",Addison's Disease
"muscle weakness, depression, irritability, loss of appetite, low blood sugar (hypoglycemia), darkening of skin creases and scars",Addison's Disease
"hyperpigmentation (especially in skin creases, knuckles, elbows, and scars), hypotension (low blood pressure), salt craving, fatigue, muscle weakness, weight loss, nausea, vomiting, abdominal pain",Addison's Disease
"low blood pressure, dehydration, dizziness, fainting, fatigue, weight loss, darkening of skin, salt craving, muscle aches",Addison's Disease
"skin darkening, low blood pressure, fatigue, salt craving, weight loss, nausea, vomiting, abdominal pain, muscle weakness",Addison's Disease
"joint pain, swelling, stiffness, fatigue, fever, rash, often affects the same joints on both sides of the body",Juvenile Idiopathic Arthritis
"limited range of motion, eye inflammation (uveitis), growth problems, morning stiffness, joint tenderness",Juvenile Idiopathic Arthritis
"joint pain, swelling, stiffness, and tenderness, particularly in the morning or after periods of inactivity, often affecting multiple joints, and may be accompanied by fatigue, fever, and a rash",Juvenile Idiopathic Arthritis
"Joint pain/swelling/stiffness (often symmetrical), fatigue, fever, rash, eye inflammation.",Juvenile Idiopathic Arthritis
"Joint pain/swelling/stiffness (morning), fatigue, fever, rash, limited motion.",Juvenile Idiopathic Arthritis
"persistent cough (lasting more than 2 weeks), whooping sound when inhaling, runny nose, fever, exhaustion",Whooping Cough
"severe coughing fits, vomiting after coughing, difficulty breathing, cyanosis (bluish skin), infants may have apnea (pauses in breathing)",Whooping Cough
"a highly contagious respiratory infection characterized by a severe cough followed by a ""whooping"" sound when inhaling, and may be accompanied by runny nose, fever, and exhaustion",Whooping Cough
"Severe coughing fits followed by whooping sound on inhale,runny nose, fever, exhaustion.",Whooping Cough
"Severe cough with whooping inhale, runny nose, fever, vomiting after cough, exhaustion.",Whooping Cough
"bleeding in the third trimester of pregnancy, painless vaginal bleeding, bright red bleeding, may be accompanied by contractions",Placenta Previa
"vaginal bleeding after 20 weeks of pregnancy, often bright red and painless, may be intermittent or continuous",Placenta Previa
"a condition in which the placenta partially or completely covers the cervix, causing painless, bright red vaginal bleeding in the second half of pregnancy",Placenta Previa
"Painless, bright red vaginal bleeding in the second half of pregnancy.",Placenta Previa
"Painless, bright red vaginal bleeding after 20 weeks of pregnancy.",Placenta Previa
"regular contractions before 37 weeks of pregnancy, changes in vaginal discharge, pelvic pressure, backache, abdominal cramps",Preterm Labor
"contractions that cause the cervix to open earlier than normal, may lead to premature birth",Preterm Labor
"labor that begins before 37 weeks of pregnancy, characterized by regular contractions that cause the cervix to open",Preterm Labor
"Regular contractions before 37 weeks of pregnancy, pelvic pressure, backache, cramping.",Preterm Labor
"Regular contractions before 37 weeks, pelvic pressure, backache, discharge changes.",Preterm Labor
"low white blood cell count, frequent infections, fever, chills, fatigue, weakness",Neutropenia
"increased susceptibility to infections, mouth sores, sore throat, skin infections, pneumonia",Neutropenia
"a condition characterized by a low number of neutrophils (a type of white blood cell), increasing the risk of infections",Neutropenia
"Low white blood cell count (neutrophils), frequent infections, fever, fatigue.",Neutropenia
"Low neutrophil count, frequent infections, fever, chills, fatigue.",Neutropenia
"low platelet count, easy bruising, excessive bleeding, petechiae (small red or purple spots on the skin), nosebleeds, bleeding gums",Thrombocytopenia
"prolonged bleeding from cuts, heavy menstrual bleeding, blood in urine or stool, fatigue",Thrombocytopenia
"a condition characterized by a low number of platelets in the blood, leading to easy bruising, excessive bleeding, and petechiae (small red or purple spots on the skin)",Thrombocytopenia
"Low platelet count, easy bruising, excessive bleeding, petechiae (small red/purple spots).",Thrombocytopenia
"Low platelet count, easy bruising/bleeding, petechiae, nosebleeds, bleeding gums.",Thrombocytopenia
"hot flashes, night sweats, mood changes, sleep disturbances, vaginal dryness, irregular periods",Menopause
"decreased bone density, increased risk of cardiovascular disease, changes in libido, urinary problems",Menopause
"the time that marks the end of menstrual cycles, diagnosed after 12 months without a period, and characterized by symptoms like hot flashes, night sweats, mood changes, and sleep disturbances",Menopause
"Hot flashes, night sweats, mood changes, sleep disturbances, vaginal dryness, irregular periods.",Menopause
"Hot flashes, night sweats, mood/sleep changes, vaginal dryness, irregular/no periods.",Menopause
"severe mood swings, irritability, depression, anxiety, bloating, breast tenderness, headaches, fatigue, occurring in the week or two before menstruation",PMDD
"symptoms that significantly interfere with daily life and relationships, premenstrual dysphoric disorder",PMDD
"a severe form of premenstrual syndrome (PMS) characterized by significant emotional and physical symptoms that occur in the week or two before menstruation and interfere with daily life",PMDD
"Severe mood swings, irritability, depression, anxiety, bloating, breast tenderness, headaches (before menstruation).",PMDD
"Severe mood swings, irritability, depression, anxiety, physical symptoms before menstruation, disrupting daily life.",PMDD
"mood changes, irritability, bloating, breast tenderness, headaches, fatigue, food cravings, occurring in the days or weeks before menstruation",PMS
"premenstrual syndrome, symptoms that occur in a predictable pattern related to the menstrual cycle",PMS
"a combination of physical and emotional symptoms that many women experience in the days or weeks before their menstrual period",PMS
"Mood changes, bloating, breast tenderness, headaches, fatigue (before menstruation).",PMS
"Mood changes, irritability, bloating, breast tenderness, headaches before menstruation.",PMS
"absence of menstruation, primary amenorrhea (never having a period), secondary amenorrhea (missing periods after having had them)",Amenorrhea
"can be caused by various factors, including pregnancy, breastfeeding, hormonal imbalances, stress, and certain medical conditions",Amenorrhea
"the absence of menstrual periods, which can be primary (never starting periods) or secondary (stopping periods after having them)",Amenorrhea
"Absence of menstruation (primary: never started; secondary: stopped after having them).",Amenorrhea
"painful menstrual cramps, lower abdominal pain, back pain, nausea, vomiting, diarrhea, headaches",Dysmenorrhea
"painful periods, can be primary (no underlying cause) or secondary (caused by another condition)",Dysmenorrhea
"painful menstrual periods, which can be primary (no underlying cause) or secondary (caused by another condition, such as endometriosis)",Dysmenorrhea
"Painful menstrual cramps, lower abdominal pain, back pain, nausea, vomiting.",Dysmenorrhea
"Painful menstrual cramps, lower abdomen/back pain, nausea, vomiting, diarrhea.",Dysmenorrhea
"heavy menstrual bleeding, prolonged menstrual periods, passing large blood clots, fatigue, anemia",Menorrhagia
"excessive menstrual blood loss, can interfere with daily activities, may require medical treatment",Menorrhagia
"heavy menstrual bleeding, either in terms of the amount of blood flow or the duration of bleeding, or both",Menorrhagia
"Heavy menstrual bleeding, prolonged periods, passing large clots, fatigue.",Menorrhagia
"Heavy/prolonged menstrual bleeding, large clots, fatigue, anemia.",Menorrhagia
"irregular menstrual cycles, missed periods, unpredictable periods, changes in flow, spotting between periods",Menstrual Irregularities
"variations in the length, frequency, or flow of menstrual cycles, can be caused by various factors",Menstrual Irregularities
"variations from the normal menstrual cycle, including changes in the length of the cycle, the duration of bleeding, and the amount of blood flow",Menstrual Irregularities
"Irregular menstrual cycles, missed periods, unpredictable periods, changes in flow.",Menstrual Irregularities
"Irregular cycles, missed/unpredictable periods, varied flow, spotting.",Menstrual Irregularities
"vaginal dryness, itching, burning, pain during intercourse, thinning of vaginal tissues, decreased lubrication",Vaginal Atrophy
"often associated with menopause, caused by decreased estrogen levels, can lead to discomfort and urinary problems",Vaginal Atrophy
"thinning, drying, and inflammation of the vaginal walls due to reduced estrogen levels, often occurring after menopause, and causing symptoms like vaginal dryness, itching, burning, and pain during intercourse",Vaginal Atrophy
"Vaginal dryness, itching, burning, pain during intercourse, thinning of vaginal tissues.",Vaginal Atrophy
"Vaginal dryness/itching/burning, pain during intercourse, thinning vaginal tissues.",Vaginal Atrophy
"painful intercourse, pain during penetration, pain after intercourse, burning, aching, throbbing",Dyspareunia
"painful sexual intercourse, can be caused by various factors, may be superficial (at the entrance of the vagina) or deep (in the pelvis)",Dyspareunia
"painful sexual intercourse, which can be caused by a variety of physical or psychological factors",Dyspareunia
"Painful intercourse, pain during/after penetration, burning, aching.",Dyspareunia
"Painful sexual intercourse (superficial or deep).",Dyspareunia
"difficulty ejaculating quickly, reaching orgasm too soon, lack of control over ejaculation, distress or frustration",Premature Ejaculation
"ejaculation that occurs sooner than desired, either before or shortly after penetration, common sexual complaint",Premature Ejaculation
"ejaculation that occurs too quickly, either before or shortly after penetration, causing distress or dissatisfaction",Premature Ejaculation
"Ejaculation that occurs sooner than desired, lack of control, distress.",Premature Ejaculation
"Ejaculating too quickly, lack of control over ejaculation, distress.",Premature Ejaculation
